,gpsDate,latitude,longitude,Power_Mode,Fuel_Consum,GD_Engine_Temp,Steering_Angle_Speed,Transmission_Type,Vehicle_Speed,Engine_Speed,Brake_Control_Volume,Radar_Cruise_State,Streering_Angle_Degree,Odometer_Reading,Hood_Courtesy,Passenger_AC_Value,Driver_AC_Value,Fuel_Gauge,Rear_Fog_Light,Front_Fog_Light,Lounge_Illum_Light,Front_Dome_Light,Slide_Roof,Passenger_Window_State,RR_Window_State,Driver_Window_State,RL_Window_State,AccelFB,AccelLR,Inlet_Switch_Indicator,AC_Blower_Level,WhilteLine_Left,LKA_Steering_Support,WhilteLine_Right
583,2017-03-03T14:14:49,33.6343533,-112.239566,0.0,1.33,999.0,999.0,3.0,65.92126978,1517.96875,0.0,1.0,3.0,16447.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.152268357,0.152268357,0.454545454545,2.18181818182,1.0,1.0,1.0
594,2017-03-03T14:15:00,33.6313368,-112.2401628,0.0,2.961,999.0,999.0,3.0,72.50780442,2616.40625,0.0,1.0,1.5,16447.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,2.0,0.0,1.0
605,2017-03-03T14:15:11,33.6279991,-112.2404622,0.0,0.7315,999.0,999.0,3.0,77.0810964,953.125,0.0,1.0,-1.5,16448.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
616,2017-03-03T14:15:22,33.6246289,-112.2403385,0.0,0.7765,999.0,999.0,3.0,69.81726716,996.09375,0.0,1.0,0.0,16448.0,0.0,70.0,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.025378059,0.025378059,0.454545454545,2.18181818182,1.0,0.0,1.0
627,2017-03-03T14:15:33,33.6214106,-112.2397765,0.0,0.543,999.0,999.0,3.0,75.57737811,928.125,0.0,1.0,0.0,16448.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,1.0,0.0,1.0
638,2017-03-03T14:15:44,33.6180122,-112.2394141,0.0,0.298,999.0,999.0,3.0,75.90049113,1060.15625,0.0,1.0,7.5,16448.0,0.0,69.8999290277,66.0,70.0,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
649,2017-03-03T14:15:55,33.6147244,-112.2402344,0.0,1.803,999.0,999.0,3.0,74.90008351,1939.84375,0.0,1.0,6.0,16647.9192271,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.228402535,0.228402535,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
660,2017-03-03T14:16:06,33.6117556,-112.2423177,0.0,1.4875,999.0,999.0,3.0,77.67139903,1723.4375,0.0,1.0,9.0,16449.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.0,0.0,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
671,2017-03-03T14:16:17,33.6092513,-112.2452821,0.0,0.439,999.0,999.0,3.0,77.91994751,1091.40625,0.0,1.0,-1.5,16449.0,0.0,70.0,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,-0.558317308,-0.558317308,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
682,2017-03-03T14:16:28,33.6068012,-112.2482617,0.0,0.327,999.0,999.0,3.0,77.17430208,997.65625,0.0,1.0,0.0,16449.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,1.0,0.0,1.0
693,2017-03-03T14:16:39,33.6043728,-112.2512283,0.0,2.3175,999.0,999.0,3.0,77.67761274,2210.9375,0.0,1.0,-1.5,16647.9192271,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
704,2017-03-03T14:16:50,33.6019119,-112.2542318,0.0,0.5805,999.0,999.0,3.0,77.87023781,983.59375,0.0,1.0,0.0,16450.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,1.0,0.0,1.0
